reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,processed_text
A3SQQYS79AV13M,B00DBEK0TI,"Terri J. Rice ""ricepaper""","[1, 1]","I gave this pink/red one to my son. He says it alters color in various light from the reddish to more pinkish. He had a thicker heavier duty case on the phone and when he put this one on, he remembered how slim the iPhone is. And really liked that.The kick stand base of the Eiffel tower is clever and useful. So far holding up just fine.The case fits perfectly on the iPhone 5.",5,Great Slim Fit,1378771200,"09 10, 2013","{'user_prompt': 'I gave this pink/red one to my son. He says it alters color in various light from the reddish to more pinkish. He had a thicker heavier duty case on the phone and when he put this one on, he remembered how slim the iPhone is. And really liked that.The kick stand base of the Eiffel tower is clever and useful. So far holding up just fine.The case fits perfectly on the iPhone 5.', 'interpreted_input': ' I gave this pink/red one to my son. He says it alters color in various light from the reddish to more pinkish. He had a thicker heavier duty case on the phone and when he put this one on, he remembered how slim the iPhone is. And really liked that.The kick stand base of the Eiffel tower is clever and useful. So far holding up just fine.The case fits perfectly on the iPhone 5..', 'aspects': ['pink/red one', 'heavier duty case', 'kick stand base', 'case'], 'opinions': ['alters color', 'thicker', 'useful', 'fits perfectly'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['alters color pink/red one', 'thicker heavier duty case', 'useful kick stand base', 'fits perfectly case']}"
A2PYPBC4IFAGXU,B004XXMJV8,john wilks,"[0, 0]",THESE ARE GREAT AND PRICED VERY WELL! THEY ARE STURDY AND BUILT WELL! THEY WILL HOLD UP!!,5,Five Stars,1404950400,"07 10, 2014","{'user_prompt': 'THESE ARE GREAT AND PRICED VERY WELL! THEY ARE STURDY AND BUILT WELL! THEY WILL HOLD UP!!', 'interpreted_input': ' THESE ARE GREAT AND PRICED VERY WELL! THEY ARE STURDY AND BUILT WELL! THEY WILL HOLD UP!!.', 'aspects': ['THESE ARE GREAT AND PRICED VERY WELL', 'THEY ARE STURDY AND BUILT WELL', 'THEY WILL HOLD UP'], 'opinions': ['GREAT', 'PRICED VERY WELL', 'STURDY AND BUILT WELL', 'HOLD UP'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['GREAT THESE ARE GREAT AND PRICED VERY WELL', 'PRICED VERY WELL THEY ARE STURDY AND BUILT WELL', 'STURDY AND BUILT WELL THEY WILL HOLD UP']}"
A3JKAFESI9I5N9,B00797A7NW,ShirleyRN,"[0, 0]",I really like this power station. It's nice because it's out of the way of everything else. Although I don't use the cell phone holder part of it I do use the rest of it. I like how it adds an extension to any outlet and gives you the two USB ports. It does what it's supposed to.,5,I think this is a great little power station,1400457600,"05 19, 2014","{'user_prompt': ""I really like this power station. It's nice because it's out of the way of everything else. Although I don't use the cell phone holder part of it I do use the rest of it. I like how it adds an extension to any outlet and gives you the two USB ports. It does what it's supposed to."", 'interpreted_input': "" I really like this power station. It's nice because it's out of the way of everything else. Although I don't use the cell phone holder part of it I do use the rest of it. I like how it adds an extension to any outlet and gives you the two USB ports. It does what it's supposed to.."", 'aspects': ['power station', 'cell phone holder', 'outlet', 'USB ports'], 'opinions': ['like', ""don't use"", 'add', 'gives'], 'sentiments': ['Positive', 'Neutral', 'Positive', 'Positive'], 'phrases': ['like power station', ""don't use cell phone holder"", 'add outlet', 'gives USB ports']}"
A1ST6XSCKMV5F3,B004MU1U2G,howa1272,"[0, 0]",This item came broken...very cheap do not recommend to buy...waste of money. Don't waste your time on this item...poor quality,1,Came broken,1365984000,"04 15, 2013","{'user_prompt': ""This item came broken...very cheap do not recommend to buy...waste of money. Don't waste your time on this item...poor quality"", 'interpreted_input': "" This item came broken...very cheap do not recommend to buy...waste of money. Don't waste your time on this item...poor quality."", 'aspects': ['item', 'do not recommend to buy', 'waste of money', 'quality'], 'opinions': ['broke', 'cheap', 'do not recommend', 'poor'], 'sentiments': ['Negative', 'Negative', 'Negative', 'Negative'], 'phrases': ['broke item', 'cheap do not recommend to buy', 'do not recommend waste of money', 'poor quality']}"
A3K8A8SCFFKB4Q,B009SXRJ7W,vonniezee,"[0, 1]","I've purchased many stylus' but never from this ""shop.""  It could have just been the batch but the rubber pieces either fell into the pen and it could have scratched the screen if I didn't notice. or the rubber piece didn't glide across the screen at all, making it impossible to use. threw them out. not worth the risk of the rubber falling into the pen and scratching my screen. very disappointed :(",1,"horrible, don't waste your money",1378857600,"09 11, 2013","{'user_prompt': 'I\'ve purchased many stylus\' but never from this ""shop.""  It could have just been the batch but the rubber pieces either fell into the pen and it could have scratched the screen if I didn\'t notice. or the rubber piece didn\'t glide across the screen at all, making it impossible to use. threw them out. not worth the risk of the rubber falling into the pen and scratching my screen. very disappointed :(', 'interpreted_input': ' I\'ve purchased many stylus\' but never from this ""shop.""  It could have just been the batch but the rubber pieces either fell into the pen and it could have scratched the screen if I didn\'t notice. or the rubber piece didn\'t glide across the screen at all, making it impossible to use. threw them out. not worth the risk of the rubber falling into the pen and scratching my screen. very disappointed :(.', 'aspects': ['stylus', 'rubber pieces', 'screen', 'pen'], 'opinions': ['purchased', 'never from this shop', 'impossible to use', 'not worth the risk'], 'sentiments': ['Negative', 'Negative', 'Negative', 'Negative'], 'phrases': ['purchased stylus', 'never from this shop rubber pieces', 'impossible to use screen', 'not worth the risk pen']}"
A2T9OH7QUYPMXS,B008QBFD2K,imartine,"[0, 0]",Not very rugged. This item was horrible I had to go to the field for a week and by the 5th day the items belt clip fell off. I absolutely hate this it should not have been bought by me or anyone else. I didn't return it because it was a waste of my time. This is a good example of you get what you pay for. I hope you read this and realize this item is a waste.,1,Broke in a week,1366070400,"04 16, 2013",
AWCMHANIY3LJE,B00F0TFGY6,Mr Smith,"[0, 0]","The case is falling apart after a few months of wear. It's a lovely case though. Difficult to use a charger or headphones because it wraps around the whole phone, but the protection is great.",3,"Good case, won't last",1391126400,"01 31, 2014","{'user_prompt': ""The case is falling apart after a few months of wear. It's a lovely case though. Difficult to use a charger or headphones because it wraps around the whole phone, but the protection is great."", 'interpreted_input': "" The case is falling apart after a few months of wear. It's a lovely case though. Difficult to use a charger or headphones because it wraps around the whole phone, but the protection is great.."", 'aspects': ['case', 'charger', 'headphones', 'protection'], 'opinions': ['falling apart', 'lovely', 'difficult to use', 'great'], 'sentiments': ['Negative', 'Positive', 'Negative', 'Positive'], 'phrases': ['falling apart case', 'lovely charger', 'difficult to use headphones', 'great protection']}"
AC9QEWWN4W9MC,B004JQUZC4,Michael Chang,"[0, 0]","This is a nice case, I had to return it, while is durable, it is just bigger than expected.  I still would recommend this strongly if you really need this level of protection, but for me a thin case works better.",4,Great case for those who need it.,1404864000,"07 9, 2014","{'user_prompt': 'This is a nice case, I had to return it, while is durable, it is just bigger than expected.  I still would recommend this strongly if you really need this level of protection, but for me a thin case works better.', 'interpreted_input': ' This is a nice case, I had to return it, while is durable, it is just bigger than expected.  I still would recommend this strongly if you really need this level of protection, but for me a thin case works better..', 'aspects': ['case', 'durable', 'level of protection', 'thin case', 'recommend this strongly'], 'opinions': ['nice', 'durable', 'protection', 'works better', 'recommend this strongly'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['nice case', 'durable durable', 'protection level of protection', 'works better thin case', 'recommend this strongly recommend this strongly']}"
A36XG2H1S14FW,B00COQL9QM,Richie,"[0, 0]","This is one of the most nice looking chargers I have found and at only $15 dollars it is a considerably good deal! There are many chargers around the price range of this, but what sets this apart from the others is that it is extremely small and compact! About the size of 2 quarters and the width of 1 quarter!However, it does get hot, but I think that is normal with all chargers.",5,Fantastic Charger for the price!,1375142400,"07 30, 2013","{'user_prompt': 'This is one of the most nice looking chargers I have found and at only $15 dollars it is a considerably good deal! There are many chargers around the price range of this, but what sets this apart from the others is that it is extremely small and compact! About the size of 2 quarters and the width of 1 quarter!However, it does get hot, but I think that is normal with all chargers.', 'interpreted_input': ' This is one of the most nice looking chargers I have found and at only $15 dollars it is a considerably good deal! There are many chargers around the price range of this, but what sets this apart from the others is that it is extremely small and compact! About the size of 2 quarters and the width of 1 quarter!However, it does get hot, but I think that is normal with all chargers..', 'aspects': ['chargers', 'chargers', 'size', 'size', 'hot', 'hot'], 'opinions': ['nice looking', 'considerably good deal', 'extremely small and compact', 'normal with all chargers', 'hot'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Neutral', 'Negative'], 'phrases': ['nice looking chargers', 'considerably good deal chargers', 'extremely small and compact size', 'normal with all chargers size', 'hot hot']}"
A369E3SLQ3UBUX,B007P84VGY,king kris,"[0, 0]",my phone didnt fit i sent it back didnt care for it also bc a picec was broken on it,2,phone didnt even fit,1359936000,"02 4, 2013",
